year,price,km_traveled,tax,engineSize,km_per_liters,model,transmission,fuel_type
2003,10744,96798.58232,145,1.3,29.292421600000004,Blazer,Other,Hybrid
2004,22595,21188.57044,140,2.5,17.9410768,Blazer,Other,Hybrid
2004,14495,50678.1166,0,1.3,33.373804,Express 3500 Cargo,Manual,Other
2001,9995,20224.57578,30,1.0,22.6601752,Prizm,Automatic,Hybrid
2020,6595,65982.94,160,1.8,21.0871424,Silverado 3500 HD Crew Cab,Semi-Auto,Hybrid
2014,8499,5185.29348,135,1.8,24.658352,Silverado 1500 Double Cab,Automatic,Petrol
2009,13995,16.0934,145,1.0,30.0151664,Silverado 2500 HD Regular Cab,Automatic,Other
2001,5999,36063.70006,0,1.8,15.815356800000002,Express 1500 Cargo,Semi-Auto,Other
2014,9495,3218.68,0,1.5,29.334936000000003,Express 2500 Passenger,Automatic,Other
2013,14600,6352.06498,135,1.8,29.292421600000004,Express 1500 Passenger,Manual,Diesel
2018,4995,34665.1836,30,1.5,21.724858400000002,Colorado Crew Cab,Semi-Auto,Hybrid
2009,10650,77480.06496,145,1.3,22.532632,Silverado 3500 HD Regular Cab,Other,Diesel
2002,4495,69558.89348,150,1.2,33.161232,Camaro,Manual,Petrol
1998,13790,24603.58992,0,1.0,33.161232,1500 Extended Cab,Manual,Other
2007,1995,50174.39318,145,1.8,40.0060504,Suburban 1500,Semi-Auto,Hybrid
2015,6888,15404.60248,150,1.0,25.040981600000002,Spark EV,Manual,Petrol
2018,7495,16650.231639999998,0,2.0,32.4384872,Tahoe,Other,Hybrid
2011,5999,257494.4,145,1.6,24.020636,Silverado 2500 HD Regular Cab,Automatic,Other
2005,7979,18325.55458,0,1.5,20.0242824,Silverado 1500 HD Crew Cab,Semi-Auto,Other
2019,9485,14342.43808,0,3.0,25.040981600000002,Volt,Automatic,Hybrid
2008,9998,6418.04792,0,2.0,31.588199200000002,Silverado 2500 HD Extended Cab,Other,Diesel
1993,9440,14667.52476,145,1.0,24.530808800000003,S10 Extended Cab,Automatic,Diesel
2000,12500,22934.70434,125,1.5,29.292421600000004,3500 Crew Cab,Semi-Auto,Petrol
2003,21323,29289.988,150,1.0,20.3643976,Tahoe,Other,Hybrid
2011,7000,21887.024,0,1.8,57.181868,Silverado 1500 Regular Cab,Semi-Auto,Hybrid
2006,9291,40201.3132,150,1.0,24.658352,Express 3500 Cargo,Manual,Other
2014,13999,70381.26622,135,2.2,20.3643976,Corvette,Semi-Auto,Hybrid
2005,18498,63565.71132,135,2.0,33.161232,Colorado Crew Cab,Semi-Auto,Hybrid
2007,22900,21236.85064,140,1.0,33.373804,Express 2500 Passenger,Automatic,Other
2000,12290,27511.6673,135,1.5,28.059504,Express 2500 Cargo,Automatic,Petrol
2016,7395,37924.0971,0,1.8,33.373804,Silverado 3500 HD Double Cab,Manual,Other
2006,11990,113297.536,150,1.5,31.588199200000002,Aveo,Other,Diesel
2016,7195,34100.30526,0,1.0,32.4384872,Express 2500 Cargo,Automatic,Petrol
1997,8685,75165.83404,20,1.0,29.334936000000003,Astro Passenger,Manual,Other
2011,18450,9934.45582,125,1.0,20.3643976,Suburban 2500,Automatic,Petrol
2008,5000,26113.15084,150,1.0,24.020636,Aveo,Other,Diesel
1999,7498,16421.70536,20,1.5,28.6121912,2500 HD Extended Cab,Manual,Petrol
2006,10995,25911.98334,145,1.0,20.3643976,Cobalt,Automatic,Hybrid
1996,12499,19292.76792,0,1.0,16.665644800000003,Caprice Classic,Manual,Other
2005,24990,9612.58782,135,1.5,24.530808800000003,Blazer,Other,Hybrid
2012,11270,86432.82338,0,1.0,40.0060504,Corvette,Semi-Auto,Hybrid
2009,29390,12420.88612,135,1.5,12.796834400000002,Corvette,Semi-Auto,Hybrid
2018,9695,38390.8057,145,1.0,29.292421600000004,Colorado Crew Cab,Semi-Auto,Hybrid
2016,5690,59852.96394,135,1.2,32.4384872,Silverado 3500 HD Regular Cab,Other,Diesel
1994,19990,15288.73,140,1.0,36.3923264,S10 Extended Cab,Automatic,Diesel
2020,9275,27846.41002,145,1.5,29.292421600000004,Silverado 1500 Crew Cab,Other,Hybrid
2002,11991,18724.6709,135,1.8,17.175817600000002,Suburban 2500,Automatic,Petrol
1999,12295,37014.82,0,1.5,22.2350312,Suburban 1500,Semi-Auto,Hybrid
2016,18999,35743.4414,205,1.5,20.3643976,Express 2500 Cargo,Automatic,Petrol
1993,22495,50874.456079999996,150,2.0,30.780425600000004,Suburban 2500,Automatic,Petrol
2012,14995,20197.217,300,1.5,28.6121912,Express 2500 Cargo,Automatic,Petrol
2018,6995,19495.54476,20,1.3,27.931960800000002,Traverse,Other,Petrol
2014,8295,10481.63142,140,2.0,33.161232,SS,Manual,Petrol
2020,25991,61563.69236,0,1.8,16.4530728,Impala,Manual,Diesel
1992,10985,61494.49074,0,2.4,29.292421600000004,S10 Regular Cab,Manual,Other
1998,9990,4821.58264,145,1.0,16.665644800000003,Metro,Automatic,Hybrid
1992,16998,15005.48616,0,1.3,24.530808800000003,G-Series G10,Other,Other
2020,7925,35946.21824,145,1.0,24.020636,Trax,Semi-Auto,Diesel
1996,17498,9747.77238,145,1.3,24.020636,Cavalier,Other,Hybrid
2000,8000,6389.0797999999995,30,2.4,25.040981600000002,Suburban 1500,Semi-Auto,Hybrid
1999,19995,58486.63428,145,1.0,36.3923264,3500 Extended Cab,Manual,Other
2009,12000,19452.09258,145,1.3,21.8524016,Traverse,Other,Petrol
2006,9225,33590.14448,0,1.8,22.6601752,Monte Carlo,Semi-Auto,Hybrid
2006,17819,148070.54538,145,1.8,24.658352,Silverado 3500 Extended Cab,Automatic,Petrol
2003,7498,83685.68,125,1.8,24.020636,Tracker,Other,Diesel
2002,7209,11545.40516,0,1.5,22.6601752,Silverado 3500 Regular Cab,Manual,Hybrid
1996,17498,51281.619099999996,150,2.4,23.382920000000002,Lumina Cargo,Semi-Auto,Petrol
1992,11220,71972.90348,135,1.3,29.292421600000004,Lumina APV,Semi-Auto,Other
2004,8988,68860.43992,0,1.5,26.1038416,Silverado 2500 Regular Cab,Automatic,Petrol
1994,6191,2597.47476,145,1.5,23.552977600000002,1500 Extended Cab,Manual,Other
2005,9998,25543.44448,145,2.0,28.484648,Suburban 1500,Semi-Auto,Hybrid
2011,10950,15256.5432,140,2.0,33.373804,Express 1500 Cargo,Semi-Auto,Other
2008,17500,54242.8047,135,1.5,29.292421600000004,Silverado 3500 HD Crew Cab,Semi-Auto,Hybrid
1992,25000,9950.54922,160,1.3,33.161232,Corvette,Semi-Auto,Hybrid
2011,7995,23335.43,150,1.0,23.382920000000002,Silverado 2500 HD Extended Cab,Other,Diesel
2003,11200,626.03326,145,1.8,20.0242824,Astro Cargo,Semi-Auto,Hybrid
1996,18495,31316.14706,0,1.3,31.588199200000002,1500 Extended Cab,Manual,Other
1996,18590,89093.0624,145,1.2,32.4384872,Cavalier,Other,Hybrid
2017,8998,5536.1296,145,1.0,27.8894464,Silverado 3500 HD Double Cab,Manual,Other
2015,18498,65178.27,145,2.0,20.3643976,Corvette,Semi-Auto,Hybrid
2005,7209,35265.46742,20,1.2,34.3091208,Express 2500 Cargo,Automatic,Petrol
2014,10495,45251.42212,145,1.8,28.6121912,Sonic,Manual,Hybrid
1996,9192,34462.40676,145,1.2,27.931960800000002,Lumina,Automatic,Petrol
1994,11295,99264.0912,145,1.6,24.020636,Camaro,Manual,Petrol
2018,23000,31567.2041,30,1.6,24.530808800000003,Colorado Crew Cab,Semi-Auto,Hybrid
2016,20500,22429.37158,0,1.3,22.6601752,Silverado 3500 HD Regular Cab,Other,Diesel
2005,6000,63126.3615,0,2.0,24.020636,Colorado Extended Cab,Manual,Other
2006,12240,47436.90584,265,1.3,20.3643976,TrailBlazer,Other,Petrol
2001,14300,30860.70384,145,1.0,99.90884000000001,Lumina,Automatic,Petrol
2013,13998,30960.48292,145,1.0,30.780425600000004,Camaro,Manual,Petrol
2017,27990,131491.1247,135,1.8,29.334936000000003,Silverado 3500 HD Double Cab,Manual,Other
1999,14995,35896.3287,145,1.5,40.0060504,Express 2500 Passenger,Automatic,Other
2004,8345,17199.01658,145,1.3,25.040981600000002,Express 1500 Passenger,Manual,Diesel
2015,10360,15674.9716,145,1.5,33.373804,Colorado Crew Cab,Semi-Auto,Hybrid
2003,10495,94183.40482,145,1.8,22.2350312,S10 Extended Cab,Automatic,Diesel
2013,19998,19773.96058,0,1.8,22.2350312,Captiva Sport,Manual,Other
2011,17150,6794.63348,145,1.0,16.665644800000003,Traverse,Other,Petrol
2014,27249,46450.38042,0,1.5,21.0871424,Volt,Automatic,Hybrid
1998,14490,47605.88654,150,1.0,32.4384872,2500 Extended Cab,Other,Diesel
2006,6299,72759.87074,145,2.4,20.0242824,Express 3500 Passenger,Other,Diesel
1998,8999,39398.25254,135,1.0,36.3923264,G-Series 3500,Semi-Auto,Hybrid
2014,22075,27680.648,145,1.8,21.0871424,Cruze,Automatic,Hybrid
2009,16995,626.03326,135,1.0,25.5511544,Silverado 3500 HD Crew Cab,Semi-Auto,Hybrid
2013,6690,34774.61872,140,1.5,24.530808800000003,Silverado 1500 Crew Cab,Other,Hybrid
2003,7410,41968.368519999996,145,1.2,19.6841672,S10 Crew Cab,Semi-Auto,Diesel
1995,9998,14805.928,0,1.8,25.040981600000002,Sportvan G20,Semi-Auto,Hybrid
2002,9950,51814.31064,30,1.5,20.3643976,Avalanche 2500,Semi-Auto,Petrol
2009,9450,46028.73334,0,1.3,29.292421600000004,Corvette,Semi-Auto,Hybrid
2016,16998,3402.14476,145,1.5,25.5511544,Cruze,Automatic,Hybrid
2003,8498,52503.108159999996,150,2.0,14.8375256,Malibu,Other,Other
1997,9995,10460.71,145,2.5,29.334936000000003,Tahoe,Other,Hybrid
2003,5991,2457.46218,0,1.0,26.6990432,S10 Regular Cab,Manual,Other
2003,23060,37568.43296,20,1.5,31.588199200000002,Silverado 3500 Regular Cab,Manual,Hybrid
2007,6480,25749.44,0,1.6,23.382920000000002,Silverado (Classic) 3500 Crew Cab,Manual,Hybrid
2002,6100,10372.1963,150,1.5,24.020636,Express 2500 Cargo,Automatic,Petrol
2000,10000,147254.61,150,1.0,29.292421600000004,Express 2500 Passenger,Automatic,Other
1998,8789,27551.9008,0,1.5,20.0242824,Tracker,Other,Diesel
2005,20990,6585.41928,30,1.8,25.040981600000002,Silverado 3500 Extended Cab,Automatic,Petrol
1996,18995,21993.24044,30,1.0,15.390212800000002,Express 2500 Passenger,Automatic,Other
2016,6778,10647.39344,140,1.3,29.334936000000003,Cruze,Automatic,Hybrid
2007,3995,9340.60936,0,1.8,24.530808800000003,Silverado (Classic) 3500 Crew Cab,Manual,Hybrid
1997,26490,16053.1665,125,2.0,40.0060504,Camaro,Manual,Petrol
2008,12000,32143.34782,0,1.0,31.588199200000002,Silverado 2500 HD Extended Cab,Other,Diesel
2009,2995,20224.57578,145,1.5,24.658352,Tahoe,Other,Hybrid
2013,27790,2550.8039,30,1.0,23.382920000000002,Corvette,Semi-Auto,Hybrid
1995,7795,4023.35,20,1.5,25.5511544,S10 Regular Cab,Manual,Other
2005,9895,17691.47462,0,1.5,24.658352,Astro Passenger,Manual,Other
1993,15998,20926.24802,145,2.0,20.0242824,Beretta,Semi-Auto,Other
2010,6999,3191.32122,0,1.6,30.780425600000004,Express 1500 Passenger,Manual,Diesel
2000,18004,32793.52118,140,1.5,13.9447232,Express 1500 Passenger,Manual,Diesel
1994,28495,43767.61064,30,1.5,32.4384872,Sportvan G20,Semi-Auto,Hybrid
2006,20995,47678.30684,0,1.0,29.292421600000004,Impala,Manual,Diesel
1997,9995,57746.33788,125,1.2,29.292421600000004,2500 Regular Cab,Automatic,Diesel
2006,9700,17874.93938,145,1.4,28.484648,Suburban 2500,Automatic,Petrol
1993,10990,22875.15876,140,1.3,99.90884000000001,Suburban 1500,Semi-Auto,Hybrid
2002,11750,66454.47662,150,2.0,30.780425600000004,Silverado 1500 Regular Cab,Semi-Auto,Hybrid
2006,9295,62307.20744,20,1.5,25.040981600000002,Cobalt,Automatic,Hybrid
2016,7495,9565.91696,160,1.5,33.161232,Suburban,Other,Petrol
2011,21844,41842.84,0,1.0,29.334936000000003,Silverado 2500 HD Extended Cab,Other,Diesel
2010,17195,42161.48932,30,1.3,22.2350312,Impala,Manual,Diesel
1995,22495,29475.0621,145,1.5,36.562384,Lumina,Automatic,Petrol
1998,18995,12818.3931,150,1.3,23.552977600000002,3500 Crew Cab,Semi-Auto,Petrol
2010,15995,54780.32426,145,1.0,20.0242824,Silverado 2500 HD Crew Cab,Manual,Diesel
2000,7990,55374.17072,145,1.0,17.643476,Silverado 2500 HD Regular Cab,Automatic,Other
2005,8795,3331.3338,0,2.2,27.2942448,Suburban 2500,Automatic,Petrol
2014,10498,49889.54,20,1.3,29.292421600000004,Cruze,Automatic,Hybrid
2008,10501,49224.88258,0,1.5,26.6990432,TrailBlazer,Other,Petrol
1992,12472,38624.159999999996,0,1.0,25.040981600000002,1500 Extended Cab,Manual,Other
2002,15295,12818.3931,30,1.5,33.161232,Tracker,Other,Diesel
2005,5995,80467.0,0,1.5,36.562384,Colorado Regular Cab,Other,Other
2009,10515,37777.64716,140,1.5,32.4384872,Silverado 3500 HD Crew Cab,Semi-Auto,Hybrid
2009,21698,20105.48462,145,1.3,29.334936000000003,Malibu,Other,Other
2007,11995,16993.02106,135,1.0,22.2350312,Silverado (Classic) 1500 Regular Cab,Other,Petrol
2015,8795,29083.99248,150,1.8,29.292421600000004,Cruze,Automatic,Hybrid
2003,11292,114910.09468,145,1.5,33.373804,Venture Cargo,Automatic,Hybrid
1996,5772,41836.40264,145,1.0,16.9207312,2500 Extended Cab,Other,Diesel
2017,13490,35139.9389,0,1.0,40.0060504,Colorado Crew Cab,Semi-Auto,Hybrid
1994,4901,59870.66668,140,1.5,24.658352,Beretta,Semi-Auto,Other
2007,11295,17697.91198,0,1.8,28.059504,Avalanche,Other,Hybrid
1995,19990,46638.6732,145,1.3,19.6841672,S10 Extended Cab,Automatic,Diesel
2003,12495,95960.11618,125,2.5,25.5511544,Silverado 1500 Extended Cab,Manual,Petrol
2006,29399,44417.784,145,2.0,32.481001600000006,Silverado 1500 Extended Cab,Manual,Petrol
2009,10995,39428.83,235,1.2,20.3643976,Cobalt,Automatic,Hybrid
2016,7995,81746.4253,0,1.2,20.3643976,Silverado 3500 HD Regular Cab,Other,Diesel
2010,11900,105941.24286,145,2.0,23.0853192,Suburban 1500,Semi-Auto,Hybrid
2018,11489,20116.75,0,1.8,20.3643976,Silverado 3500 HD Regular Cab,Other,Diesel
1999,7298,870.65294,0,1.0,23.382920000000002,Camaro,Manual,Petrol
2016,10980,39750.698,0,1.5,28.6121912,Spark,Manual,Petrol
2001,12995,35511.69644,0,1.5,20.3643976,Corvette,Semi-Auto,Hybrid
2006,10995,28968.12,0,1.5,26.6990432,Silverado 2500 HD Regular Cab,Automatic,Other
2009,20000,7338.5904,140,1.3,25.040981600000002,TrailBlazer,Other,Petrol
1992,14495,67437.78336,135,1.0,25.040981600000002,Caprice,Manual,Petrol
2004,21499,26204.88322,30,1.5,33.161232,Tahoe,Other,Hybrid
2018,11800,19220.34762,145,1.2,31.588199200000002,Impala,Manual,Diesel
2010,12998,19339.43878,0,1.5,20.3643976,Silverado 3500 HD Extended Cab,Automatic,Other
1993,10995,44612.51414,30,2.0,30.780425600000004,Cavalier,Other,Hybrid
2016,7498,104491.22752,150,2.5,29.292421600000004,Silverado 1500 Regular Cab,Semi-Auto,Hybrid
1997,10995,112156.51394,150,2.4,28.059504,Corvette,Semi-Auto,Hybrid
1999,16217,41192.66664,0,1.2,36.562384,Suburban 1500,Semi-Auto,Hybrid
2003,7995,24111.13188,135,1.4,24.658352,Astro Cargo,Semi-Auto,Hybrid
2002,12199,55895.59688,135,1.0,25.040981600000002,Express 1500 Cargo,Semi-Auto,Other
1996,12495,87089.4341,150,1.0,29.334936000000003,Cavalier,Other,Hybrid
2006,10795,49846.08782,0,1.2,20.0242824,Uplander Passenger,Manual,Other
1994,9998,40.2335,0,1.8,27.931960800000002,Corsica,Semi-Auto,Hybrid
2008,12990,41358.42866,20,1.8,16.665644800000003,Silverado 3500 HD Regular Cab,Other,Diesel
1994,13495,22855.84668,145,1.8,29.2499072,1500 Extended Cab,Manual,Other
1998,10440,6564.49786,0,1.0,29.292421600000004,Tahoe,Other,Hybrid
1996,6000,33086.42106,30,1.5,57.181868,S10 Regular Cab,Manual,Other
2014,17995,14178.2854,260,1.5,36.562384,Camaro,Manual,Petrol
2001,28590,21581.2494,265,1.8,20.0242824,Silverado 1500 HD Crew Cab,Semi-Auto,Other
2007,11990,138403.24,135,1.0,24.020636,Express 3500 Cargo,Manual,Other
2007,9495,26507.43914,145,1.2,32.4384872,Silverado 3500 HD Crew Cab,Semi-Auto,Hybrid
2015,12290,29957.8641,0,1.5,24.020636,SS,Manual,Petrol
2005,20995,21581.2494,145,2.0,33.373804,Cavalier,Other,Hybrid
1994,8799,73628.91434,145,1.0,25.040981600000002,3500 Extended Cab,Manual,Other
2002,5995,20041.11102,145,1.0,29.334936000000003,S10 Extended Cab,Automatic,Diesel
2008,17990,9158.75394,20,1.5,20.0242824,Silverado 2500 HD Crew Cab,Manual,Diesel
2006,12995,15530.131,30,1.0,13.9447232,Uplander Passenger,Manual,Other
2008,6495,16093.4,150,1.0,24.658352,Equinox,Manual,Diesel
2019,13995,30817.251659999998,145,1.3,24.020636,Silverado 2500 HD Double Cab,Other,Petrol
1996,12990,53735.8626,0,1.3,24.020636,Express 2500 Passenger,Automatic,Other
2008,16995,58156.71958,135,1.0,24.658352,Express 2500 Passenger,Automatic,Other
2002,10995,36363.037299999996,0,1.5,22.2350312,Tahoe,Other,Hybrid
2005,8199,35117.40814,145,1.0,29.292421600000004,Express 1500 Cargo,Semi-Auto,Other
2015,11998,52213.42696,30,1.5,30.0151664,Silverado 3500 HD Double Cab,Manual,Other
2005,10995,34591.15396,0,1.8,99.90884000000001,Monte Carlo,Semi-Auto,Hybrid
1998,15295,23369.22614,135,1.3,14.114780800000002,Malibu,Other,Other
1996,15495,21104.88476,145,1.8,17.9410768,Express 3500 Passenger,Other,Diesel
2003,8995,9131.39516,30,1.2,30.780425600000004,Venture Passenger,Manual,Hybrid
2018,10495,50554.19742,145,1.0,16.4530728,Sonic,Manual,Hybrid
2004,11462,57273.19192,30,1.3,24.020636,Colorado Regular Cab,Other,Other
2002,6495,991.35344,145,1.5,24.020636,Tahoe,Other,Hybrid
1994,26700,40043.59788,0,1.8,17.9410768,3500 Regular Cab,Semi-Auto,Other
2010,9350,98237.33228,0,2.4,17.175817600000002,Traverse,Other,Petrol
2009,8799,41696.39006,30,3.0,20.3643976,Suburban 2500,Automatic,Petrol
1999,12000,43629.2074,145,1.6,31.588199200000002,Camaro,Manual,Petrol
2012,5990,14138.0519,145,1.5,29.334936000000003,Colorado Crew Cab,Semi-Auto,Hybrid
1993,7100,44829.77504,30,1.0,32.4384872,1500 Extended Cab,Manual,Other
1996,5722,38535.6463,145,1.8,36.562384,3500 Regular Cab,Semi-Auto,Other
2007,9000,14598.32314,145,1.0,23.382920000000002,Silverado (Classic) 1500 Regular Cab,Other,Petrol
2011,30000,10241.83976,240,1.5,16.665644800000003,Impala,Manual,Diesel
1993,7195,6440.57868,235,1.0,24.658352,Blazer,Other,Hybrid
2000,22691,31227.63336,145,1.0,27.931960800000002,Malibu,Other,Other
2010,8190,67846.55572,0,1.0,14.667468000000001,Colorado Extended Cab,Manual,Other
2015,12995,12293.74826,135,1.8,31.588199200000002,Equinox,Manual,Diesel
2009,25990,55163.34718,0,1.5,40.0060504,Silverado 3500 HD Regular Cab,Other,Diesel
1995,7999,26204.88322,20,1.0,31.588199200000002,S10 Regular Cab,Manual,Other
2003,21795,6146.06946,0,1.5,22.532632,Astro Cargo,Semi-Auto,Hybrid
2001,11995,62978.30222,0,1.3,16.4530728,Express 1500 Cargo,Semi-Auto,Other
1995,7690,30731.95664,200,1.0,20.3643976,Astro Cargo,Semi-Auto,Hybrid
2006,10200,40716.302,145,1.5,29.292421600000004,Malibu,Other,Other
1994,9657,111044.46,150,1.5,24.530808800000003,Impala,Manual,Diesel
2001,11400,80621.49664,145,1.0,36.3923264,Suburban 2500,Automatic,Petrol
1995,21500,37988.4707,150,1.5,30.780425600000004,2500 Extended Cab,Other,Diesel
2014,7485,75994.64414,145,1.0,36.562384,Silverado 1500 Double Cab,Automatic,Petrol
1999,21995,35143.15758,135,1.3,25.040981600000002,Venture Passenger,Manual,Hybrid
2019,27550,28507.84876,20,1.5,24.020636,Colorado Extended Cab,Manual,Other
2009,8298,26494.56442,20,2.0,24.020636,Express 3500 Cargo,Manual,Other
2011,20495,40.2335,125,1.5,20.3643976,Express 2500 Cargo,Automatic,Petrol
1993,8995,80719.66638,140,1.8,20.3643976,Caprice Classic,Manual,Other
1994,5777,16965.66228,30,1.8,29.292421600000004,Beretta,Semi-Auto,Other
2009,5679,6813.94556,145,1.3,29.334936000000003,Colorado Regular Cab,Other,Other
2003,8383,69536.36272,0,2.0,29.292421600000004,S10 Crew Cab,Semi-Auto,Diesel
1995,13070,33796.14,0,1.5,29.334936000000003,Impala,Manual,Diesel
1994,6290,73282.90624,145,1.8,23.382920000000002,Corsica,Semi-Auto,Hybrid
2008,7950,22527.54132,0,1.0,17.9410768,Silverado 3500 HD Crew Cab,Semi-Auto,Hybrid
2000,9990,12354.90318,260,1.5,36.3923264,Venture Cargo,Automatic,Hybrid
2003,7998,11857.61712,160,2.5,29.334936000000003,Astro Passenger,Manual,Other
2009,12245,48668.05094,0,1.0,28.484648,Silverado 1500 Extended Cab,Manual,Petrol
2001,6800,844.9035,30,1.5,30.0151664,Venture Passenger,Manual,Hybrid
1993,11995,66547.81834,145,1.5,26.6990432,1500 Regular Cab,Manual,Other
2009,6804,34491.37488,30,1.0,20.0242824,Suburban 2500,Automatic,Petrol
2018,11500,52322.86208,135,1.5,20.3643976,Suburban 3500HD,Semi-Auto,Diesel
2020,10990,26930.69556,0,1.5,33.161232,Suburban,Other,Petrol
1997,6498,102128.7164,0,2.0,32.481001600000006,Venture Passenger,Manual,Hybrid
2010,9495,39592.98268,305,1.0,22.2350312,Silverado 1500 Extended Cab,Manual,Petrol
2015,15998,25821.8603,0,1.6,27.931960800000002,Colorado Crew Cab,Semi-Auto,Hybrid
1997,10495,10666.70552,0,1.0,28.6121912,G-Series 2500,Other,Petrol
2014,11280,64231.97808,145,2.5,16.665644800000003,Express 3500 Cargo,Manual,Other
2016,13039,22390.74742,150,1.3,24.020636,Trax,Semi-Auto,Diesel
2013,8995,61459.08526,0,1.5,36.562384,Express 2500 Passenger,Automatic,Other
1993,7790,19305.64264,0,1.5,29.334936000000003,1500 Regular Cab,Manual,Other
2007,20995,20420.91526,20,1.5,24.020636,Suburban 1500,Semi-Auto,Hybrid
1992,18500,13938.49374,145,1.0,23.382920000000002,S10 Regular Cab,Manual,Other
2009,20495,37014.82,145,1.0,36.562384,Equinox,Manual,Diesel
1997,14995,65831.66204,150,1.5,24.020636,G-Series 1500,Manual,Diesel
2014,25350,48033.97098,20,1.3,29.292421600000004,Malibu,Other,Other
1995,7750,44327.66096,145,2.0,32.4384872,Corsica,Semi-Auto,Hybrid
2006,7995,14933.06586,20,2.0,31.588199200000002,HHR,Automatic,Petrol
2019,18799,36326.02248,0,1.3,16.240500800000003,Silverado 2500 HD Double Cab,Other,Petrol
2001,18000,39863.3518,0,1.0,40.0060504,S10 Crew Cab,Semi-Auto,Diesel
2004,20995,30577.46,145,1.5,22.532632,Silverado 1500 Regular Cab,Semi-Auto,Hybrid
2013,5498,140435.83642,150,1.2,18.493764000000002,Silverado 1500 Crew Cab,Other,Hybrid
2014,13495,65651.41596,30,2.8,20.3643976,Equinox,Manual,Diesel
2019,10795,18124.38708,145,1.5,24.658352,Equinox,Manual,Diesel
2017,34990,26890.46206,0,1.8,24.020636,Silverado 1500 Crew Cab,Other,Hybrid
2008,6690,46406.92824,145,1.5,36.3923264,Equinox,Manual,Diesel
2018,11795,43630.81674,0,2.5,31.588199200000002,Express 2500 Cargo,Automatic,Petrol
2019,12495,37883.8636,260,1.8,27.931960800000002,Silverado 2500 HD Double Cab,Other,Petrol
1994,5995,10969.26144,0,1.5,34.3091208,Camaro,Manual,Petrol
2017,27893,38942.80932,145,1.5,31.588199200000002,Silverado 3500 HD Double Cab,Manual,Other
2014,7291,32046.78742,145,2.0,24.530808800000003,Suburban 1500,Semi-Auto,Hybrid
2011,6800,30677.23908,145,1.8,36.562384,Silverado 2500 HD Regular Cab,Automatic,Other
2016,26995,10460.71,145,1.0,20.3643976,Impala,Manual,Diesel
2009,11747,91732.38,20,1.8,36.562384,Silverado 3500 HD Regular Cab,Other,Diesel
2017,24000,49667.45108,0,1.8,24.020636,Sonic,Manual,Hybrid
2006,9490,80467.0,30,1.8,29.292421600000004,Uplander Cargo,Semi-Auto,Other
1992,11500,16109.4934,135,2.0,24.530808800000003,2500 Extended Cab,Other,Diesel
1999,4690,16075.69726,135,1.5,25.040981600000002,3500 Extended Cab,Manual,Other
2005,15498,23415.897,145,1.5,25.040981600000002,Express 3500 Cargo,Manual,Other
1999,7691,23570.39364,30,1.0,31.588199200000002,Suburban 1500,Semi-Auto,Hybrid
2016,10612,30731.95664,145,1.2,20.3643976,Spark EV,Manual,Petrol
2002,5990,40610.08556,145,1.5,20.3643976,Malibu,Other,Other
1996,13695,4395.10754,0,1.6,36.562384,Tahoe,Other,Hybrid
1996,21995,51239.77626,135,1.2,20.0242824,Sportvan G30,Automatic,Petrol
2004,12795,21887.024,0,1.0,31.588199200000002,Impala,Manual,Diesel
2010,10495,26431.80016,30,1.5,28.484648,Colorado Regular Cab,Other,Other
2000,8306,4251.87628,125,1.8,24.020636,Express 3500 Passenger,Other,Diesel
2016,13690,88215.9721,150,1.0,15.390212800000002,Traverse,Other,Petrol
2017,22450,85175.92884,0,1.0,25.040981600000002,Suburban,Other,Petrol
2011,10490,31736.1848,145,1.0,23.552977600000002,Express 2500 Passenger,Automatic,Other
2019,15250,23864.90286,0,1.0,33.161232,Silverado 1500 Crew Cab,Other,Hybrid
1997,15495,12445.02622,0,1.0,36.3923264,Astro Passenger,Manual,Other
2016,8790,2286.87214,145,1.5,29.292421600000004,Tahoe,Other,Hybrid
2009,22995,135667.362,0,1.6,29.334936000000003,Corvette,Semi-Auto,Hybrid
2018,27999,4042.66208,260,1.8,25.5511544,Suburban,Other,Petrol
2007,13599,44033.15174,150,1.3,25.040981600000002,Impala,Manual,Diesel
2007,7995,92968.35312,0,1.5,20.3643976,Silverado (Classic) 2500 HD Extended Cab,Semi-Auto,Other
2013,6995,24956.03538,145,1.8,32.4384872,Express 2500 Cargo,Automatic,Petrol
2008,23483,97686.938,0,1.3,16.665644800000003,Corvette,Semi-Auto,Hybrid
2009,12995,6725.43186,0,1.0,30.780425600000004,Express 1500 Cargo,Semi-Auto,Other
1993,6999,149848.86608,135,1.8,20.0242824,Sportvan G30,Automatic,Petrol
2007,10990,3606.53094,160,1.2,29.334936000000003,Silverado (Classic) 2500 HD Regular Cab,Manual,Other
2009,8495,18534.76878,145,2.4,24.530808800000003,Colorado Crew Cab,Semi-Auto,Hybrid
2008,14995,10888.79444,0,1.5,36.3923264,Equinox,Manual,Diesel
2018,11691,15806.93748,0,2.5,29.334936000000003,Express 2500 Cargo,Automatic,Petrol
2017,7990,43220.43504,145,1.2,20.3643976,Express 2500 Passenger,Automatic,Other
1993,8995,71086.15714,125,1.3,36.3923264,Cavalier,Other,Hybrid
2012,6999,8046.7,0,1.0,20.3643976,Silverado 1500 Extended Cab,Manual,Petrol
2013,10995,29032.4936,135,2.4,28.6121912,Silverado 1500 Regular Cab,Semi-Auto,Hybrid
